filename,file_number,lead,lead_idx,window_idx,peak_position
HR00001.hea,1,I,0,0,28
HR00001.hea,1,I,0,1,144
HR00001.hea,1,I,0,2,260
HR00001.hea,1,I,0,3,376
HR00001.hea,1,I,0,4,491
HR00001.hea,1,I,0,5,610
HR00001.hea,1,I,0,6,729
HR00001.hea,1,I,0,7,849
HR00001.hea,1,I,0,8,967
HR00001.hea,1,I,0,9,1081
HR00001.hea,1,I,0,10,1202
HR00001.hea,1,II,1,0,28
HR00001.hea,1,II,1,1,144
HR00001.hea,1,II,1,2,260
HR00001.hea,1,II,1,3,375
HR00001.hea,1,II,1,4,491
HR00001.hea,1,II,1,5,610
HR00001.hea,1,II,1,6,729
HR00001.hea,1,II,1,7,849
HR00001.hea,1,II,1,8,967
HR00001.hea,1,II,1,9,1081
HR00001.hea,1,II,1,10,1201
HR00001.hea,1,III,2,0,26
HR00001.hea,1,III,2,1,142
HR00001.hea,1,III,2,2,228
HR00001.hea,1,III,2,3,303
HR00001.hea,1,III,2,4,373
HR00001.hea,1,III,2,5,489
HR00001.hea,1,III,2,6,551
HR00001.hea,1,III,2,7,646
HR00001.hea,1,III,2,8,969
HR00001.hea,1,III,2,9,1064
HR00001.hea,1,III,2,10,1140
HR00001.hea,1,aVR,3,0,35
HR00001.hea,1,aVR,3,1,135
HR00001.hea,1,aVR,3,2,202
HR00001.hea,1,aVR,3,3,273
HR00001.hea,1,aVR,3,4,435
HR00001.hea,1,aVR,3,5,503
HR00001.hea,1,aVR,3,6,776
HR00001.hea,1,aVR,3,7,841
HR00001.hea,1,aVR,3,8,909
HR00001.hea,1,aVR,3,9,1132
HR00001.hea,1,aVR,3,10,1196
HR00001.hea,1,aVL,4,0,28
HR00001.hea,1,aVL,4,1,144
HR00001.hea,1,aVL,4,2,260
HR00001.hea,1,aVL,4,3,376
HR00001.hea,1,aVL,4,4,492
HR00001.hea,1,aVL,4,5,610
HR00001.hea,1,aVL,4,6,729
HR00001.hea,1,aVL,4,7,849
HR00001.hea,1,aVL,4,8,967
HR00001.hea,1,aVL,4,9,1081
HR00001.hea,1,aVL,4,10,1202
HR00001.hea,1,aVF,5,0,26
HR00001.hea,1,aVF,5,1,142
HR00001.hea,1,aVF,5,2,296
HR00001.hea,1,aVF,5,3,410
HR00001.hea,1,aVF,5,4,526
HR00001.hea,1,aVF,5,5,646
HR00001.hea,1,aVF,5,6,765
HR00001.hea,1,aVF,5,7,884
HR00001.hea,1,aVF,5,8,1002
HR00001.hea,1,aVF,5,9,1081
HR00001.hea,1,aVF,5,10,1235
HR00001.hea,1,V1,6,0,26
HR00001.hea,1,V1,6,1,142
HR00001.hea,1,V1,6,2,291
HR00001.hea,1,V1,6,3,404
HR00001.hea,1,V1,6,4,490
HR00001.hea,1,V1,6,5,608
HR00001.hea,1,V1,6,6,759
HR00001.hea,1,V1,6,7,878
HR00001.hea,1,V1,6,8,965
HR00001.hea,1,V1,6,9,1079
HR00001.hea,1,V1,6,10,1232
HR00001.hea,1,V2,7,0,27
HR00001.hea,1,V2,7,1,142
HR00001.hea,1,V2,7,2,259
HR00001.hea,1,V2,7,3,374
HR00001.hea,1,V2,7,4,490
HR00001.hea,1,V2,7,5,608
HR00001.hea,1,V2,7,6,727
HR00001.hea,1,V2,7,7,848
HR00001.hea,1,V2,7,8,965
HR00001.hea,1,V2,7,9,1079
HR00001.hea,1,V2,7,10,1200
HR00001.hea,1,V3,8,0,27
HR00001.hea,1,V3,8,1,143
HR00001.hea,1,V3,8,2,259
HR00001.hea,1,V3,8,3,375
HR00001.hea,1,V3,8,4,491
HR00001.hea,1,V3,8,5,609
HR00001.hea,1,V3,8,6,728
HR00001.hea,1,V3,8,7,848
HR00001.hea,1,V3,8,8,966
HR00001.hea,1,V3,8,9,1080
HR00001.hea,1,V3,8,10,1201
HR00001.hea,1,V4,9,0,28
HR00001.hea,1,V4,9,1,144
HR00001.hea,1,V4,9,2,260
HR00001.hea,1,V4,9,3,375
HR00001.hea,1,V4,9,4,491
HR00001.hea,1,V4,9,5,609
HR00001.hea,1,V4,9,6,728
HR00001.hea,1,V4,9,7,849
HR00001.hea,1,V4,9,8,966
HR00001.hea,1,V4,9,9,1081
HR00001.hea,1,V4,9,10,1201
HR00001.hea,1,V5,10,0,28
HR00001.hea,1,V5,10,1,144
HR00001.hea,1,V5,10,2,260
HR00001.hea,1,V5,10,3,375
HR00001.hea,1,V5,10,4,491
HR00001.hea,1,V5,10,5,610
HR00001.hea,1,V5,10,6,729
HR00001.hea,1,V5,10,7,849
HR00001.hea,1,V5,10,8,967
HR00001.hea,1,V5,10,9,1081
HR00001.hea,1,V5,10,10,1201
HR00001.hea,1,V6,11,0,28
HR00001.hea,1,V6,11,1,144
HR00001.hea,1,V6,11,2,260
HR00001.hea,1,V6,11,3,376
HR00001.hea,1,V6,11,4,492
HR00001.hea,1,V6,11,5,610
HR00001.hea,1,V6,11,6,729
HR00001.hea,1,V6,11,7,849
HR00001.hea,1,V6,11,8,967
HR00001.hea,1,V6,11,9,1081
HR00001.hea,1,V6,11,10,1202
HR00002.hea,2,I,0,0,55
HR00002.hea,2,I,0,1,126
HR00002.hea,2,I,0,2,201
HR00002.hea,2,I,0,3,288
HR00002.hea,2,I,0,4,350
HR00002.hea,2,I,0,5,460
HR00002.hea,2,I,0,6,627
HR00002.hea,2,I,0,7,784
HR00002.hea,2,I,0,8,968
HR00002.hea,2,I,0,9,1079
HR00002.hea,2,I,0,10,1170
HR00002.hea,2,II,1,0,11
HR00002.hea,2,II,1,1,126
HR00002.hea,2,II,1,2,191
HR00002.hea,2,II,1,3,289
HR00002.hea,2,II,1,4,363
HR00002.hea,2,II,1,5,460
HR00002.hea,2,II,1,6,628
HR00002.hea,2,II,1,7,700
HR00002.hea,2,II,1,8,785
HR00002.hea,2,II,1,9,934
HR00002.hea,2,II,1,10,1080
HR00002.hea,2,II,1,11,1222
HR00002.hea,2,III,2,0,17
HR00002.hea,2,III,2,1,126
HR00002.hea,2,III,2,2,191
HR00002.hea,2,III,2,3,289
HR00002.hea,2,III,2,4,460
HR00002.hea,2,III,2,5,587
HR00002.hea,2,III,2,6,785
HR00002.hea,2,III,2,7,934
HR00002.hea,2,III,2,8,1017
